name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,r1_3_1,r1_3_2,r1_3_3,r1_3_4,r1_3_5,r1_4_1,r1_4_2,r1_4_3,r1_4_4,r1_5_1,r1_5_2,r1_5_3,r1_5_4,r1_5_5,r1_6_1,r1_6_2,r1_6_3,r1_6_4,r1_6_5
Serpind1,27.95249,27.55296,27.7145,27.55604,27.51382,27.14248,27.51503,28.38595,27.45372,27.58219,26.72051,26.69432,26.78768,26.80452,26.34859,27.08436,27.85085,27.08598,27.66723,26.73079,26.88611,26.77279,26.79303,26.80919,26.68552,26.40921,26.40375,26.22647,26.73092
Tfrc,28.40673,27.30295,28.06671,26.81042,27.67694,28.03396,27.99906,29.00292,28.33611,28.73108,24.0431,24.83374,24.52169,24.75384,24.62416,27.87303,28.7527,27.2641,28.1534,26.28127,26.85935,26.23847,26.08942,27.01691,25.56337,25.42336,24.4491,25.51512,25.79166
Ahsg,32.27481,31.88987,32.26495,31.50956,31.58567,31.85983,31.97011,32.50344,32.6805,32.39312,33.64721,33.63201,33.43564,33.74314,33.73943,31.66805,33.20726,32.09735,32.05624,32.54938,33.11446,32.12059,32.59317,32.43971,33.025,33.34401,32.55453,32.69077,33.34903
Fetub,28.68335,28.35515,28.14822,28.22899,27.87156,28.61193,28.8091,29.71344,28.89804,28.61224,28.60827,28.30774,28.60964,28.30509,28.58337,29.08347,29.65282,28.8665,29.16401,28.03559,28.09798,27.81665,27.98256,28.07015,27.98604,28.0477,27.64238,27.84966,27.87162
Kng1,32.46354,32.17926,32.29844,31.88453,31.96158,32.35474,32.48819,32.88351,32.31189,32.26693,31.97326,31.88325,31.97045,31.78258,31.72387,32.25628,32.70967,32.03878,32.43534,31.6501,31.62017,31.63127,31.57628,31.5376,31.66204,31.50668,31.5647,31.63469,31.61197
Hrg,30.74174,30.39703,30.3053,30.27609,30.51164,30.24751,30.29833,31.22234,30.38679,30.22159,29.74586,29.65685,29.55815,29.79382,29.55927,30.37979,31.28179,30.32055,30.5072,30.0898,29.88539,29.84949,30.10275,29.90182,29.65724,29.6284,29.52949,29.71075,29.62164
Adipoq,29.8054,30.41488,30.21686,29.99564,30.11558,29.83026,29.8897,28.62108,30.16806,29.8595,27.61161,27.95199,28.17869,27.63187,28.45411,29.19225,28.80122,29.03701,28.87883,28.71646,29.02931,29.24785,29.09984,29.71252,29.17145,28.45994,29.32436,28.87449,29.11056
Serping1,25.56288,25.46026,25.87462,24.21911,25.39248,25.9183,26.27129,26.84218,26.32613,26.37612,25.24891,25.19937,24.95735,24.9842,24.94633,25.61894,26.37201,25.38667,25.98492,25.428,25.78694,25.61203,25.76585,25.57678,25.00226,24.65491,24.91169,24.83099,25.71238
C3,36.36856,36.23676,36.11395,36.1177,36.08001,36.10969,36.25288,36.622,36.215,36.16693,35.33877,35.39643,35.32724,35.2833,35.35212,36.54193,36.97192,36.55585,36.53264,36.2554,36.40735,36.16364,36.27595,36.3394,35.63839,35.56274,35.51206,35.414,35.49866
Cfb,31.32625,30.9808,30.9465,30.88314,30.90333,30.91356,31.22452,31.10674,31.21581,31.29433,31.32351,30.96959,30.93115,30.90842,30.70066,31.18801,31.69437,30.95567,31.06651,30.46616,30.88577,30.68244,30.68929,30.84176,30.73884,30.82252,30.70759,30.7319,30.74943
C2,27.99556,27.36244,27.99615,27.33552,27.26374,26.2299,26.35205,26.42044,26.19011,26.27172,24.90596,25.21952,25.5268,25.34455,25.12436,27.15625,26.62394,26.00387,25.95227,25.53724,25.82345,26.12074,25.58104,25.3889,24.7897,25.47445,26.10903,25.54813,24.83152
Apom,24.51443,23.5566,23.34787,24.20195,23.92479,24.68362,24.35917,25.51554,25.08026,24.43752,23.79064,23.7681,23.70588,23.86872,23.63788,23.62901,24.26571,23.63987,23.41274,24.71366,24.23374,25.19035,24.46451,24.74191,24.49247,24.15027,24.32985,24.05986,24.47191
Mbl2,29.47363,29.18811,29.30609,29.00892,29.53966,28.85216,29.00563,29.86763,29.41949,29.27526,27.26607,27.61231,27.79977,27.70859,28.13951,28.0839,29.36365,28.58556,28.30326,28.92394,28.63187,28.83542,28.89657,29.04672,28.39256,28.16332,28.35456,28.13315,28.6107
Rbp4,28.4006,27.87203,27.83418,27.70121,28.07592,26.15321,26.97399,27.03181,27.69179,27.60428,26.94927,27.94486,27.9831,27.77744,27.69039,28.46692,28.56464,28.25002,28.38743,27.10859,27.07725,27.50105,26.64499,27.01521,27.68652,27.53919,27.29772,27.83328,27.84858
Spp2,27.75487,28.2196,28.04396,28.22927,27.88873,28.73512,28.70856,27.86308,28.50393,28.79625,27.46334,27.14472,27.80637,27.58334,27.20918,28.53897,29.20422,28.65731,28.61583,27.58556,27.68813,27.64196,27.75034,28.38989,27.23663,27.77165,28.20499,27.21438,27.54834
F13b,31.67522,31.19331,31.15237,31.04642,31.40274,30.55041,30.94259,31.66403,31.15973,31.28956,32.19844,32.22081,32.09968,32.09751,32.10347,30.75382,31.02855,30.82783,30.77667,32.13296,32.13057,32.1035,32.10868,32.49907,33.00788,32.68556,32.77477,32.63121,32.78998
C4bp,33.25237,32.76497,32.85175,32.59312,32.79715,32.89876,32.99944,33.37904,33.14017,33.14151,31.80355,32.11533,31.9643,31.88569,31.96857,32.86966,33.94603,32.893,33.16586,32.99825,32.67274,32.70039,32.8441,33.11395,32.28088,32.19534,32.177,32.26992,32.47733
Pigr,26.44277,25.81184,25.52895,25.96351,25.42005,25.50939,25.27192,25.03574,25.33217,25.30574,24.93872,24.8225,24.68929,24.61616,24.57254,26.14812,26.68057,26.34433,24.81861,25.08942,23.89087,23.65796,23.93814,23.75817,25.49796,25.03502,25.15518,25.00015,22.98536
Apcs,25.82721,25.74235,25.82505,25.77125,25.86387,24.05829,25.60062,26.04743,24.7964,24.82435,27.02781,27.53282,27.32809,27.61723,27.6454,26.77014,27.62986,27.10809,27.34739,26.02502,25.78304,25.60289,25.92477,25.85702,24.32024,24.17181,24.26213,23.8292,24.52031
Hc,33.80097,33.70203,33.86903,33.55202,33.58318,33.45953,33.54881,33.63871,33.52811,33.51265,32.03032,31.96836,31.91695,31.84154,31.90372,33.26696,34.12794,33.33711,33.29693,32.54453,32.5943,32.35846,32.56272,32.56288,32.36883,32.32029,32.24244,32.15464,32.30359
Gsn,32.01551,32.67485,32.67459,32.89005,32.46521,32.2681,32.34043,32.20405,32.22395,32.09005,31.48721,31.42056,31.28538,31.7864,31.46232,32.09836,32.64579,32.02042,32.12808,32.22851,32.25446,32.12432,32.02175,32.1511,32.18032,32.04039,32.06224,31.97995,31.97815
Fcna,31.26198,31.8049,27.62031,31.71108,31.33047,31.56115,31.5879,31.04759,30.17736,31.64495,29.53688,29.5366,29.45629,29.05822,29.33524,31.36844,29.06843,31.10706,31.26086,30.42112,30.70174,29.80099,30.27487,30.48913,30.29691,30.34043,30.04479,30.18624,30.31721
Cat,25.98954,28.21956,28.67684,28.39954,26.6599,29.8532,29.97062,27.65465,29.1898,29.52236,24.8003,25.73977,26.34641,25.62945,25.66131,29.56734,29.70757,29.43633,29.18589,29.18064,29.91356,29.46511,30.04869,29.34098,27.35203,27.6454,28.23781,28.19751,28.197
F2,31.88041,31.55096,31.63348,31.60673,31.4886,31.42021,31.72602,32.22587,31.81337,31.85274,31.215,30.89432,30.83763,30.95954,30.79676,31.55737,32.17003,31.53399,31.29969,31.08119,31.074,30.96313,30.85927,30.89417,30.82994,30.69644,30.68829,30.72988,30.71874
Car2,26.05928,26.12631,26.32402,25.98446,23.74909,26.78307,29.91428,24.18835,29.67713,22.73511,24.81627,24.36966,23.84613,24.20083,22.05486,28.72299,28.7266,26.61498,26.8259,23.95082,29.82296,24.04009,24.03061,24.37908,25.22494,24.96534,22.73564,22.83474,23.19612
Bche,21.90514,22.82074,23.07063,22.40802,20.82058,20.88591,21.62386,19.73319,19.42493,22.28868,21.90998,21.18024,20.65779,22.84843,20.13097,21.32223,20.73653,21.2245,19.86685,20.17838,21.39355,23.25748,22.12471,21.10111,22.4354,22.25121,22.59846,23.06961,21.30811
Ambp,29.27026,28.94397,28.65854,29.01193,28.95396,28.53975,28.51153,29.34278,28.7019,28.80523,28.27493,28.50567,28.27307,28.24636,28.54878,28.87408,29.43151,28.96171,29.056,28.58671,28.71552,28.84533,28.61323,28.79238,28.49518,27.78157,28.0379,27.98799,28.1161
Orm1,23.30354,22.41887,22.85291,22.0459,22.90947,22.80792,23.76699,22.12925,23.64878,19.71789,26.36033,28.46696,28.95649,28.39088,28.56027,23.49277,23.74694,23.34259,23.52073,23.13353,22.79725,23.71858,23.58795,24.22861,24.04068,26.0049,24.56424,26.62226,26.08257
Vcp,24.27355,23.54828,25.32893,25.01278,24.42143,27.20331,27.73705,28.45705,27.80384,27.78019,24.42163,23.80971,24.29271,23.63964,24.04502,25.90199,24.9147,25.87699,25.81404,27.9577,28.10639,27.85757,27.65615,27.66465,26.60414,26.74317,25.95821,26.57557,27.02284
Hgfac,25.81565,27.85442,27.66675,25.98644,26.80637,26.65403,28.1505,27.39387,27.50408,27.76294,27.72306,26.96873,27.14131,27.15287,27.49343,27.31622,20.7704,27.3803,27.43309,25.98066,26.73738,27.30687,26.46012,26.22345,27.61147,27.56638,27.25575,27.95283,27.16883
Alb,37.59502,37.62711,37.54797,37.66541,37.41832,38.05318,38.24298,38.52507,38.14314,38.2531,38.75925,38.48832,38.51511,38.55664,38.58438,37.96048,38.27061,38.00562,37.982,38.11245,38.15601,37.90028,38.14661,38.0472,38.34212,38.19592,38.29981,38.09491,38.12222
Pf4,25.33579,25.38617,24.67632,24.22626,24.0554,28.32294,28.44967,28.94601,26.17003,28.16667,21.60035,24.95691,24.23383,26.66302,26.44875,27.3479,28.46782,25.85688,26.24331,26.20137,28.27711,27.72455,28.36198,27.92422,26.894,27.85013,27.46817,27.62631,28.07163
C8b,33.04741,33.03151,32.95712,32.94658,32.88296,32.40434,32.58625,32.795,32.31794,32.45795,31.19601,31.35899,31.40263,31.30634,31.44391,32.67369,33.06423,32.53837,32.5921,31.69432,31.73876,31.86644,31.72147,31.73562,31.49772,31.43331,31.6154,31.85471,31.57853
Igsf10,29.8034,29.54514,28.87596,29.6493,29.60229,30.31452,31.04244,31.67581,31.53848,31.26299,31.67754,32.11436,32.03217,31.75633,32.01162,30.2135,30.84131,30.08385,29.99132,31.83662,31.56688,31.89952,31.8886,32.31306,31.52599,31.22986,31.40928,31.87913,31.76916
Acta1,29.07743,29.4847,29.52113,28.57246,28.44427,29.39685,30.13589,29.35792,28.97878,29.23836,27.16806,26.88122,26.49415,27.35842,26.64513,28.47178,25.35535,28.53066,28.96741,27.36077,27.41716,27.58391,26.66357,28.36824,27.62471,27.47923,27.67949,27.57672,27.4763
Ecm1,28.75156,28.78069,28.70032,28.61077,28.668,28.36591,28.59452,28.00774,27.77687,28.13399,27.11366,27.44,27.87929,27.61786,27.42246,28.95507,29.60813,28.67499,28.69555,28.75729,28.50442,28.80119,28.59099,28.57661,28.3195,27.9603,28.42374,28.04921,28.22384
Actg1,29.07743,29.4847,29.52113,28.57246,28.44427,29.39685,30.13589,29.35792,28.97878,29.23836,27.16806,26.88122,26.49415,27.35842,26.64513,28.47178,25.35535,28.53066,28.96741,27.36077,27.41716,27.58391,26.66357,28.36824,27.62471,27.47923,27.67949,27.57672,27.4763
Mst1,24.91242,24.48093,25.0571,24.59474,24.59986,24.58726,24.54239,24.35998,24.82982,24.59588,24.02013,23.81861,20.42189,22.74938,24.17333,25.00702,25.51866,25.28556,25.7555,24.48861,24.48757,24.37259,24.52247,24.90394,24.12731,24.19798,24.03859,24.1686,24.2
Mmrn1,22.25281,27.15682,26.14847,25.59366,26.73428,27.59235,27.43682,22.97584,26.15515,27.44063,25.03708,23.70076,25.36513,26.88075,24.6712,26.33862,26.67681,25.36389,25.80077,26.56648,26.97027,26.11525,26.73583,26.9085,27.50862,27.75888,28.03291,27.18999,27.2787
Gpx3,29.38482,29.3652,29.36626,28.95521,29.56142,27.69205,27.20481,28.51217,28.85964,28.90124,27.88361,27.53334,27.56296,27.96999,27.29404,29.18021,29.92903,29.10032,29.26841,28.36344,28.63979,28.58111,28.59459,28.78188,28.42862,28.31367,28.15398,28.36043,28.12273
Aldoa,23.4716,24.08497,24.0535,23.89791,23.98329,24.51015,24.54857,24.66758,24.42771,25.82163,24.46351,24.1529,23.31179,24.21074,21.51089,24.29593,25.31831,24.45764,24.47228,23.40938,24.35474,24.42278,21.60592,24.44044,24.50149,24.47358,24.48567,26.22429,24.05895
Gpx1,28.15166,28.21891,28.64997,27.99852,27.88174,28.19404,28.26289,28.21836,27.32199,28.16916,27.4691,27.35187,27.41167,27.43134,27.53297,28.08856,29.0683,28.31566,28.25494,27.76129,27.7692,27.30696,27.45505,27.41659,27.54517,27.25728,27.37294,27.22582,27.34723
Apoc2,25.81103,25.43049,25.15623,25.76471,25.24071,26.77379,26.74535,27.55406,26.8735,27.23754,27.68646,27.94095,27.89105,27.88594,27.33134,26.42817,26.82165,26.39275,26.04408,27.80796,27.82049,26.99776,27.17674,27.04812,27.45959,28.22683,27.24771,26.90976,27.88291
Grn,25.37249,25.80848,26.00455,25.79258,25.93935,25.71091,26.19959,22.72875,26.08253,25.34719,25.94418,26.21766,26.31862,25.83846,26.24846,26.06624,21.08401,26.60583,26.17047,25.56186,25.42451,25.95921,25.77934,25.76127,25.81181,25.8952,25.58184,25.67339,25.56288
Reln,24.94913,25.89804,26.37426,25.15545,25.27899,26.33166,26.207,22.11213,25.56793,25.94633,24.66926,24.38212,24.65578,24.15314,24.54433,25.8252,23.81382,25.13759,25.69864,26.60088,26.09722,25.42972,26.49019,25.72507,25.98203,25.98603,26.53874,25.43539,26.44785
Igfals,28.17174,27.33219,27.46817,27.46217,27.19704,26.59491,27.65663,28.10704,27.18319,26.60201,25.51953,25.44161,26.15027,25.86507,25.66631,27.41353,27.83653,27.61302,27.91131,26.17434,25.953,26.52371,26.15279,26.31974,25.94519,26.14585,25.03808,25.701,25.33036
Acta2,29.07743,29.4847,29.52113,28.57246,28.44427,29.39685,30.13589,29.35792,28.97878,29.23836,27.16806,26.88122,26.49415,27.35842,26.64513,28.47178,25.35535,28.53066,28.96741,27.36077,27.41716,27.58391,26.66357,28.36824,27.62471,27.47923,27.67949,27.57672,27.4763
F13a1,32.05342,32.05876,32.33666,31.92483,32.01837,31.86146,31.94684,32.29996,31.72143,31.9451,31.02287,31.03879,30.9506,30.98012,31.10149,31.55,32.73505,31.67581,32.04097,32.06519,32.35707,32.30269,32.20011,32.27323,32.64746,32.6513,32.5957,32.53034,32.77154
Hspa1a,23.31354,25.97248,24.79665,26.13061,25.82265,27.27106,27.04978,23.05861,25.38673,27.14092,23.15618,22.85986,24.96455,22.94887,23.63356,26.18452,18.67356,24.55754,24.98294,24.03179,24.08537,25.58887,23.6825,24.3345,24.33926,24.0035,25.1731,25.71025,24.26807
Mbl1,31.02499,31.17212,31.26997,31.19102,31.07788,30.90146,30.90333,30.60222,30.76462,31.1351,29.77784,29.27802,29.46696,29.57418,29.53614,31.66645,31.38844,31.4411,31.44431,30.08664,30.50398,30.17224,30.26361,30.3714,30.45307,30.57272,30.41084,29.96168,30.07202
C1qb,31.6288,31.17962,31.18074,31.0399,31.2049,30.70058,31.08588,30.69777,31.5237,31.4484,30.54269,31.04622,31.28019,30.83899,31.04186,30.37098,32.12028,30.89959,31.00256,32.23549,32.27409,32.30046,32.12479,32.4808,33.0178,32.67842,32.84883,32.78548,32.96187
Sepp1,26.67963,25.98327,26.03574,26.21343,24.57213,25.75707,27.74567,27.90879,27.64918,26.97869,26.4183,25.4698,26.44055,25.99992,26.47352,27.54436,26.0694,25.7092,25.97167,24.5611,26.3661,24.27633,24.82905,25.04535,25.13927,25.10933,24.88344,25.9655,25.31403
C1qc,30.33947,30.07163,30.72363,30.34488,30.42672,30.32956,29.89472,28.13653,28.79346,29.8365,28.4883,28.28621,28.89461,28.5618,28.61523,29.57024,29.93621,29.49562,29.60625,29.87404,29.86013,29.48767,30.14783,29.86965,30.62558,30.36307,30.51672,30.313,29.91199
C4b,33.76979,33.36489,33.36071,33.3395,33.26136,33.05415,33.11272,33.71303,33.07543,33.09655,32.5001,32.36398,32.43333,32.28755,32.36489,33.37257,34.08449,33.46478,33.50793,33.02054,33.02072,32.83942,32.85712,32.9849,32.91024,32.86984,32.74659,32.70248,32.82858
Fbln1,27.34562,28.56616,28.26616,28.21192,28.6024,28.14865,28.47414,27.74105,28.36265,28.64313,25.44101,25.9903,25.52019,25.04431,25.98895,28.16519,28.75761,27.85359,28.49808,26.19299,27.34232,26.93708,27.28374,27.46014,26.83026,27.64719,27.38829,27.34274,26.7939
Serpina6,21.4999,21.81634,22.42158,22.39552,22.29609,22.52128,23.66839,25.78858,24.3179,23.27696,25.49695,25.04502,25.08054,25.04235,26.29434,23.95438,24.90518,23.61493,20.658,25.44976,25.24608,22.35784,26.34452,26.62798,22.80457,24.77846,20.79091,25.67179,24.72354
Tgm2,22.47633,22.47003,22.48015,24.30366,22.07582,24.75333,24.85595,24.00479,23.88917,25.05325,21.84733,23.21185,22.65618,22.1328,21.50403,24.41931,21.19139,24.53243,24.70351,24.97911,24.67965,24.88674,24.85714,25.94519,24.29593,24.34827,24.32052,24.24554,24.48867
Pglyrp2,24.91771,24.51467,24.62076,24.39963,23.90931,24.16023,24.94056,24.89555,24.04394,24.3152,24.04668,23.993,24.36319,24.78696,25.15112,24.23147,24.44297,24.54539,24.98976,23.98407,23.49497,23.28263,24.22479,23.78067,23.94029,23.25667,23.59901,23.3995,23.71356
Serpina10,26.98707,26.19865,26.55339,26.03204,25.9104,25.93546,25.87004,27.13016,25.88511,26.28351,25.32117,25.23484,24.57687,24.8291,24.79064,26.00174,26.18234,26.06277,26.21788,24.90734,25.3151,25.3683,24.83084,25.10193,24.60037,20.29397,24.19009,24.52067,24.59838
Itih2,31.648,31.0932,31.37046,31.14011,31.10212,31.16117,31.22613,31.25912,30.98244,31.27858,30.91435,31.07909,31.05478,31.03085,30.99746,31.30552,32.61901,31.40309,31.49948,31.60889,31.58383,31.46704,31.48082,31.64916,30.99335,31.03453,30.79056,30.9746,30.72753
Igj,31.27175,31.46202,31.51916,31.13651,31.20326,31.58159,31.3638,31.22573,31.01664,31.18033,30.37181,30.23797,30.18423,30.23854,30.2824,30.43131,31.28411,30.17914,30.8181,30.61149,30.59637,30.25158,30.41991,30.38463,30.65787,30.50607,30.7038,30.52841,30.67632
Apoc1,29.05662,28.8154,28.9579,29.00019,28.88291,29.62904,29.96403,30.09131,29.59605,30.038,30.36838,30.49333,30.63824,30.49467,30.42892,28.37935,29.16763,28.25458,28.78871,28.97629,29.32135,29.27398,29.19725,29.45193,29.10866,29.07235,29.23672,29.6012,29.19404
Lum,25.47571,25.20713,25.1332,25.31341,25.405,25.71219,25.62229,25.60874,25.72393,25.64144,26.009,25.7312,25.59764,24.78277,25.88995,24.96891,25.1053,24.38962,25.39355,25.20665,26.64787,24.98264,24.2169,25.25191,25.61327,25.99164,26.26871,26.02821,26.38982
Proz,26.60894,25.38341,24.87774,25.16073,23.51171,27.01404,25.37438,26.75545,25.27437,25.8918,28.72761,28.69345,28.55069,28.70675,28.721,24.93755,27.21058,25.9612,26.1104,23.6165,25.90051,26.69631,25.30009,25.75009,27.00539,26.47548,25.6424,28.38944,26.59149
Lcat,24.63522,25.25458,20.79382,22.4175,21.77635,21.56417,26.11759,25.34739,26.07192,22.37382,25.65472,25.76448,25.62199,25.76274,22.15734,25.15147,23.77977,26.62157,25.9522,25.16718,25.95325,22.43253,25.94592,25.49951,25.58503,25.64,25.7399,25.10089,25.67244
Saa2,24.4776,23.19303,23.21544,23.08107,22.91231,24.28008,22.2352,22.4375,21.74539,23.59057,27.09305,26.96939,26.89735,27.03412,26.77894,23.16651,23.90591,22.90689,23.62333,19.83599,23.38963,21.70564,22.14222,22.39136,22.47182,21.48064,22.00748,22.88907,22.32413
Serpina3k,32.33711,32.29071,32.37005,32.33226,32.27039,32.98502,33.15251,33.42117,32.91044,33.18859,34.37639,34.64823,34.37768,34.57852,34.64849,33.15795,33.79285,33.13103,33.20768,33.28623,33.09067,33.0246,33.26178,33.02272,33.64571,33.77362,33.62593,33.59613,33.29844
