name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_5_1_norm,r1_5_2_norm,r1_5_3_norm,r1_5_4_norm,r1_5_5_norm,FoldCh_norm
Apoc1,0.279555187,0.219607231,0.260915985,0.294331166,0.290393416,0.315883325,0.365522205,0.388818515,0.374668163,0.416701239,0.303544194
Lum,-0.646090223,-0.744562377,-0.756144638,-0.702103655,-0.622337316,-0.667906786,-0.348035068,-0.750132683,-0.918387952,-0.683785808,0.039796627
Proz,-0.353156542,-0.697458414,-0.82407632,-0.743368842,-1.119205829,-1.082899689,-0.547506978,-0.29531286,-0.637157626,-0.553252945,0.335928943
Lcat,-0.863352234,-0.731883213,-1.910068481,-1.484788155,-1.574627735,-0.678207556,-0.533430564,-1.426949443,-0.469479766,-0.618909785,1.611928147
Saa2,-0.904096132,-1.282752149,-1.266113571,-1.305443509,-1.276510302,-2.069526622,-1.217665978,-1.619871057,-1.457040388,-1.433305626,-1.051816556
Serpina3k,1.12754369,1.148248459,1.1682717,1.194897669,1.17939201,1.44067942,1.371561411,1.3842589,1.429948489,1.352317771,0.695111186
Actb,0.284934457,0.398451586,0.410689576,0.178727559,0.175278244,-0.105730569,-0.142709996,-0.059737705,-0.283155166,0.132753351,-1.096131969
Postn,-0.906611283,-1.385286372,-1.479409907,-1.419668727,-1.334046893,-1.559639798,-1.137464584,-1.493582497,-1.542446195,-1.48771397,-0.43949887
Itih1,0.970190355,0.890018374,0.976857843,0.990893371,0.974649504,1.005954031,0.997041796,0.970768238,0.989885951,0.973062918,0.096695897
Azgp1,0.253705741,0.027811157,0.266356689,-0.146010116,0.025870486,-0.046916746,-0.026145867,-0.096233806,-0.031232053,-0.099838719,-0.423390803
Saa1,-1.979040189,-1.671458716,-1.610601075,-1.502899107,-1.699098771,-1.511708724,-1.588779923,-1.566739252,-1.037706835,-2.165639586,0.317879523
Hspa1b,-1.204999197,-0.540052401,-0.845639697,-0.481237062,-0.512730688,-0.974518465,-1.031971551,-0.589235064,-1.057135066,-0.924165097,-0.580649527
F5,-0.308274148,-0.440134174,-0.409343639,-0.460488251,-0.36712826,-0.764246521,-1.251888158,-0.636435026,-1.190102781,-0.829072988,-1.562044585
