name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_7_1,2_7_2,2_7_3,2_7_4,FC_7
Hspa1a,-0.574069315,-0.512803946,-0.569833299,-0.887572543,-1.312017981,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.168873465
Hspa1b,-0.574069315,-0.512803946,-0.569833299,-0.887572543,-1.312017981,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.168873465
Hspa1l,-0.574069315,-0.512803946,-0.569833299,-0.887572543,-1.312017981,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.168873465
Hspa2,-0.574069315,-0.512803946,-0.569833299,-0.887572543,-1.312017981,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.168873465
Hspa5,-0.574069315,-0.512803946,-0.569833299,-0.887572543,-1.312017981,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.168873465
Hspa8,-0.574069315,-0.512803946,-0.569833299,-0.887572543,-1.312017981,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.168873465
Ica,1.184875671,1.196728954,1.10130947,1.131255519,0.78704563,0.82277624,0.82765124,0.837666404,0.824662296,0.616827308
Idh2,0.356879972,0.335836284,0.182948232,0.228645824,0.157275104,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.501461992
Igfals,0.120372751,-0.059652553,-0.126520135,-0.034587688,0.193440068,0.660888147,0.630390972,0.656855546,0.608662532,0.735648609
Il1rap,-0.348225431,-0.733720432,-0.445266031,-0.384758573,-0.171424771,0.676525191,0.607680858,0.617591169,0.588690897,0.85614522
Itih1,1.132292867,1.246405123,1.209283712,1.187626213,0.983198588,0.886625084,0.86534475,0.879268751,0.871140051,0.648509213
Itih2,0.730794357,0.32256062,0.274897404,0.383029209,0.645338986,0.861134589,0.860954113,0.873694631,0.869471824,0.853680898
Itih3,0.300791129,-0.241802003,-0.00623564,-0.097776853,0.120755277,0.639349394,0.669211295,0.676311586,0.670750129,0.765768773
Itih4,0.380711702,0.292645775,0.340799383,0.539939159,0.682935307,0.895643427,0.899536911,0.921975673,0.902899161,0.905805039
Klkb1,0.416856059,0.30961816,0.399790771,0.471797026,0.407359943,0.846262889,0.826834927,0.833516418,0.838820822,0.842779793
