name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,r2_1_2,r2_1_3,r2_1_4,r2_1_5,r2_2_1,r2_2_2,r2_2_3,r2_2_4,r2_2_5,FC_r2_2
Grn,-0.055079591,-0.00509001,0.021708983,0.003389698,0.035926472,-0.024801771,0.011212126,-0.400547128,0.016756576,-0.080363783,-0.706971241,0.294795579,0.01743899,-0.024071329,-0.268231095,-0.503116057,-0.242372109,-0.237403949,-0.31373026,-0.079072361,-0.370406127,-0.602716587
Spp2,0.237980313,0.29345568,0.274059225,0.306478178,0.278058521,0.348784896,0.319731908,0.225041985,0.315117898,0.343143099,0.252669069,0.296711189,0.378205426,0.373328514,0.270517497,0.337503637,-0.400740417,0.338867283,-0.279599921,-0.117192404,-0.181295248,-1.809649646
Fetub,0.352193939,0.310239526,0.286960032,0.30644335,0.275925839,0.333566991,0.332094981,0.4504979,0.363679548,0.320548681,0.412694218,0.303004465,0.338971227,0.348099567,0.371883374,0.453882691,0.427344295,0.435702307,0.484079639,0.405701799,0.478997993,0.340090529
Efemp1,0.233657692,0.28757669,0.323988295,0.294936463,0.270990985,0.247912382,0.247675876,0.165845125,0.278174521,0.249762008,-0.310218133,0.328579193,0.429498415,0.162101364,-0.136595145,0.282111573,0.21077132,0.510497143,-0.307433718,-0.203300751,0.139932821,-0.559776268
Igfals,0.289260076,0.183576275,0.202812764,0.211062194,0.192143863,0.084400504,0.190379539,0.254767133,0.152378271,0.073714402,-0.461431678,0.329423814,0.255609568,0.227680031,0.257639711,0.368826257,0.374833708,0.352388335,0.506081432,0.386881005,0.24509199,0.345693893
Psma3,0.256251196,0.283314794,0.348526557,0.287708432,0.328527436,0.271553934,0.286639108,0.29085743,0.279331543,0.278272403,-0.125623693,0.338386043,0.01169164,0.276364968,-0.069918045,0.041035571,0.297494667,0.28703133,0.165772112,-0.151831243,0.109562285,0.092100553
C1ra,0.186133467,0.190532502,0.171374933,0.211420424,0.136707799,0.075325845,0.075748743,0.112418813,0.072010224,-0.027947584,-0.853742901,0.351609105,0.272486978,0.271155916,0.296732643,0.345681023,0.435823245,0.31037684,-0.021423648,-0.176886471,0.461581281,-0.408705367
A2mp,0.081481517,0.184693135,0.135674367,-0.073119716,0.150081465,0.110127276,0.073041016,0.215734295,0.287954375,0.270119209,0.707585258,0.356995692,0.095130388,0.305610828,-0.155595336,-0.079920929,0.357720085,0.204593633,0.196576066,0.146020131,0.110607842,0.395505504
C1qa,0.404012492,0.499147261,0.387741251,0.482849107,0.437654417,0.29498301,0.389654468,0.396910754,0.462739844,0.374901265,-0.402637135,0.363267062,0.169055479,0.124530049,0.264299297,0.331282477,0.546093063,0.351926564,0.568242935,0.407360035,0.465638234,0.867886304
Ecm1,0.360584547,0.362930032,0.355275167,0.35393118,0.374851472,0.303175651,0.305708785,0.242667989,0.225530641,0.261824807,-0.667970332,0.364060567,0.420153617,0.276332023,0.342466971,0.511251573,-0.450691868,-0.111543991,-0.243207064,-0.218009266,-0.13005694,-2.418147251
