name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,,,,,,,,,
Cfd,-0.171281679,-0.114134856,0.000814315,-0.126181824,-0.063403649,-0.070920742,-0.107249864,-0.04699677,-0.01186751,-0.026206132,0.296294086,0.034776279,,,,,,,,,
Psma5,0.164614018,0.123910653,0.159071036,0.145688845,0.132440499,0.156059684,0.118878196,0.290255336,0.235834381,0.200488108,0.402957071,0.057767401,,,,,,,,,
Thbs1,0.007407495,0.039760747,0.054438661,0.01122701,0.064138504,0.47012057,0.448728186,0.429879809,0.456232549,0.541102552,3.096639471,0.062134044,,,,,,,,,
Thbs1,0.007407495,0.039760747,0.054438661,0.01122701,0.064138504,0.47012057,0.448728186,0.429879809,0.456232549,0.541102552,3.096639471,0.062134044,,,,,,,,,
Mmrn1,-0.460725938,0.157426574,0.031478998,-0.031237453,0.129392182,0.204537755,0.159004734,-0.390127406,0.017296793,0.172710984,0.477152075,0.076454674,,,,,,,,,
Angptl6,-0.183276824,-0.127600881,-0.141609473,-0.157945642,-0.049958576,-0.163483312,0.027939393,0.024183572,-0.162438765,-0.076157189,0.438272045,0.095837696,,,,,,,,,
Il1rap,0.002341585,-0.052254114,-0.076633309,-0.003853791,-0.039670505,-0.006544428,-0.0316979,0.104755773,0.020634929,0.010334668,0.380998424,0.101793008,,,,,,,,,
F5,0.112671346,0.054122892,0.068276874,0.047364581,0.08376716,-0.191385988,-0.687657495,-0.513527639,0.016368406,-0.092682436,-2.618712204,0.103770996,,,,,,,,,
Colec11,0.043985345,0.039807911,-0.00579654,0.067335276,0.060716819,-0.010538699,-0.047356883,0.011935173,0.045073588,0.040022488,-0.235362801,0.106491199,,,,,,,,,
Lap3,0.133236259,0.147218705,0.148153573,0.178928084,0.118413637,0.131212797,0.026271093,-0.290672466,-0.06373672,-0.006070529,-1.321373129,0.109811707,,,,,,,,,
Pltp,-0.24691337,-0.035758106,-0.182464299,-0.047189163,-0.027580808,0.039100393,0.047783049,-0.03229794,0.071767264,0.006629535,0.955013795,0.116202804,,,,,,,,,
Pon1,0.22314921,0.151061952,0.146007274,0.204316341,0.208230308,0.341525627,0.322862675,0.383854308,0.252854818,0.299279439,0.963940866,0.117426017,,,,,,,,,
Apob,-0.095676571,-0.149455764,-0.181981541,-0.14615252,-0.118009955,-0.131435037,-0.132414865,-0.218434239,-0.084563291,-0.054209457,0.090738709,0.118968219,,,,,,,,,
Masp1,0.123838628,0.028389069,-0.035139052,0.099406474,0.049497886,0.002795886,-0.016713579,0.120221695,0.045796512,0.038244479,-0.103847268,0.030668344,,,,,,,,,
Tfrc,0.318264784,0.176053894,0.275818214,0.124598776,0.249926019,0.260695356,0.230172031,0.365317513,0.293905524,0.335783593,0.499637541,0.134024786,,,,,,,,,
Cpb2,-0.185061665,-0.272081483,-0.06232635,-0.220793201,-0.067979961,-0.289472631,-0.26016639,-0.106341088,-0.304010242,-0.328116342,-0.691419229,0.140511329,,,,,,,,,
Psma6,0.182504202,0.228947939,0.252109576,0.196515308,0.223488516,0.220736109,0.214463683,0.245979607,0.239476907,0.226244596,0.103171297,0.164932882,,,,,,,,,
Crp,0.198984235,0.115367554,0.146324442,0.113717546,0.138766013,0.098678749,0.072998681,0.09699461,0.02717169,0.065676617,-0.494056623,0.17481654,,,,,,,,,
Afm,0.402106744,0.346038872,0.382842724,0.399412603,0.385948221,0.486466437,0.502756801,0.471584778,0.515473054,0.486094217,0.800494996,0.189761335,,,,,,,,,
Serpina3m,0.264247391,-0.277246604,-0.27746062,0.489449151,-0.479606349,-0.021829733,-0.013852913,0.056496682,0.124287106,0.009814028,0.617435911,0.196593241,,,,,,,,,
Loxl1,-0.171432314,0.11996033,0.135288519,0.162990463,-0.683179977,0.036696964,-0.087930241,-0.407643919,-0.150750215,-0.041548568,-0.316511105,0.197040329,,,,,,,,,
Apoc3,0.326332012,0.160933298,0.273271953,0.2884781,0.321823596,0.273527637,0.250853634,0.510472065,0.475702051,0.396875322,0.783297575,0.205016328,,,,,,,,,
Psmb6,0.010708818,0.26244219,0.246468059,0.24925777,0.265845292,0.273502204,0.306282204,0.111583139,0.27136803,0.293949204,0.328861297,0.207403728,,,,,,,,,
